Region,HoloSize,CDPSize
RF01_Region01,15,13.5
RF01_Region01,15,15
RF01_Region01,15,15
RF01_Region01,15,15
RF01_Region01,15,15
RF01_Region01,17,17
RF01_Region01,17,17
RF02_Region01,15,15
RF02_Region01,21,23
RF02_Region01,21,23
RF02_Region01,23,25
RF02_Region01,25,27
RF02_Region01,17,17
RF04_Region01,19.59,17.515
RF04_Region01,19.59,19.59
RF04_Region01,19.59,21.665
RF04_Region01,23.735,25.81
RF04_Region02,34.105,38.25
RF04_Region02,42.395,40.325
RF05_Region01,21.665,19.59
RF05_Region01,23.735,23.735
RF08_Region02,18.07,18.07
RF08_Region02,14.315,15.925
RF08_Region02,20.215,20.215
RF08_Region02,18.07,20.215
RF08_Region03,14.315,15.925
RF08_Region03,15.925,15.925
RF08_Region03,12.17,14.315
RF08_Region04,18.07,18.07
RF08_Region04,18.07,20.215
RF08_Region04,20.215,20.215
RF08_Region05,14.315,15.925
RF08_Region05,15.925,15.925
RF08_Region05,15.925,18.07
RF08_Region05,20.215,18.07
RF08_Region05,18.07,20.215
